date,time,tick_price,volume,open_interest
20240202,11:51:19,478.7,50,150
20240202,11:51:55,478.7,100,150
20240202,11:54:12,479.35,50,150
20240202,11:54:21,479.35,100,150
20240202,11:55:29,478.55,50,150
20240202,11:55:54,479.95,50,150
20240202,11:56:37,480.0,50,150
20240202,11:58:07,492.15,100,350
20240202,12:01:30,502.15,100,450
20240202,12:12:45,502.15,50,550
20240202,12:13:54,470.6,50,550
20240202,12:14:58,471.15,50,550
20240202,12:47:56,388.15,50,600
20240202,12:55:35,388.15,100,600
20240202,13:06:16,383.55,50,700
20240202,13:36:55,371.0,50,700
20240202,14:32:43,371.0,300,750
20240202,14:38:38,371.0,300,1050
20240202,14:54:05,369.0,250,750
20240202,14:56:25,369.0,50,1000
20240202,15:20:49,366.25,50,1050
20240205,09:37:04,373.0,1,1100
20240205,09:37:04,373.0,100,1100
20240205,09:40:12,380.0,50,1200
20240205,09:46:19,384.9,50,1200
20240205,09:49:12,387.15,50,1250
20240205,10:11:22,410.6,500,1200
20240205,10:17:44,410.6,250,1700
20240205,10:18:27,365.15,50,1700
20240205,10:19:20,359.2,250,1700
20240205,10:20:27,348.3,250,2150
20240205,10:21:14,348.3,50,2150
20240205,10:28:14,365.8,100,2450
20240205,10:37:53,367.0,100,2450
20240205,10:44:39,380.15,150,2550
20240205,10:54:47,375.05,350,2550
20240205,11:00:13,373.6,500,2550
20240205,11:01:19,374.75,500,2550
20240205,11:03:04,385.5,150,1950
20240205,11:04:17,382.5,50,1950
20240205,11:13:38,382.5,50,1950
20240205,12:08:18,382.5,100,1900
20240205,12:10:11,381.0,50,1900
20240205,12:13:04,382.5,200,2000
20240205,12:13:13,382.5,200,2000
20240205,12:14:13,382.5,600,2000
20240205,12:24:13,395.3,50,2200
20240205,12:28:57,383.75,100,2200
20240205,12:58:46,398.0,50,2200
20240205,13:15:49,402.0,100,2150
20240205,13:16:06,397.05,50,2150
20240205,13:46:13,392.0,200,2150
20240205,13:47:31,384.05,200,2200
20240205,14:33:34,345.6,150,2100
20240205,14:37:53,322.0,100,2150
20240205,14:38:25,324.25,150,2050
20240205,14:42:47,300.0,1050,2000
20240205,14:43:49,293.0,100,2000
20240205,14:44:12,290.0,50,2150
20240205,14:44:36,290.0,100,2150
20240205,14:45:39,285.0,50,2150
20240205,14:46:05,280.0,50,2150
20240205,14:46:18,280.0,50,2150
20240205,14:47:13,282.85,900,2300
20240205,14:56:39,288.85,50,3200
20240205,14:57:36,287.3,50,3200
20240205,14:58:19,287.25,50,3200
20240205,14:59:14,285.9,50,3350
20240205,14:59:58,281.9,50,3350
20240205,15:06:56,289.1,150,3450
20240205,15:07:27,296.0,50,3450
20240205,15:07:47,300.0,100,3450
20240205,15:09:38,306.0,100,3650
20240205,15:17:03,286.65,50,3550
20240205,15:18:06,287.0,100,3600
20240205,15:22:42,285.25,250,3700
20240205,15:24:51,287.3,50,3700
20240206,09:20:56,300.0,1,3600
20240206,09:20:56,300.0,250,3600
20240206,09:24:07,304.0,500,3850
20240206,09:24:37,313.55,50,3850
20240206,09:25:38,313.55,50,3900
20240206,09:27:29,308.35,50,3900
20240206,09:28:37,313.5,500,3900
20240206,09:31:49,313.0,50,3950
20240206,09:32:08,313.0,50,3950
20240206,09:39:46,329.0,250,4000
20240206,09:55:40,329.0,50,3750
20240206,09:56:00,329.0,50,3800
20240206,10:03:34,348.4,50,3800
20240206,10:37:53,348.4,50,3800
20240206,10:39:15,324.9,100,3800
20240206,11:10:26,336.85,100,3900
20240206,11:11:23,336.85,50,3900
20240206,11:26:23,342.35,50,3900
20240206,11:32:15,339.4,50,3950
20240206,11:34:28,366.55,50,3950
20240206,11:35:12,366.55,150,3950
20240206,11:35:23,366.55,250,3950
20240206,11:36:06,366.55,250,3950
20240206,11:36:17,360.0,250,3950
20240206,11:42:42,368.6,50,3700
20240206,11:49:00,368.6,50,3750
20240206,11:54:02,360.7,50,3800
20240206,12:11:31,370.0,250,3800
20240206,12:11:41,370.0,850,3800
20240206,12:12:19,365.15,50,3800
20240206,12:21:19,376.6,200,4000
20240206,12:35:29,378.25,350,4150
20240206,12:35:56,378.45,50,4150
20240206,12:36:33,380.0,450,4150
20240206,12:36:52,384.9,1050,4150
20240206,12:37:03,384.9,150,4150
20240206,12:38:29,381.3,50,6200
20240206,13:12:00,375.0,200,6150
20240206,13:12:09,376.0,900,6150
20240206,13:19:04,371.85,100,7250
20240206,13:24:11,374.0,50,7200
20240206,13:26:16,383.15,400,7450
20240206,13:29:19,383.7,50,7650
20240206,13:30:21,385.0,1000,7650
20240206,13:37:49,385.0,50,8250
20240206,13:58:38,371.25,100,8250
20240206,14:04:53,391.9,250,8200
20240206,14:13:31,391.9,50,8450
20240206,14:30:41,379.45,100,8500
20240206,14:31:07,380.9,50,8500
20240206,14:31:16,380.2,200,8500
20240206,14:31:25,380.95,100,8500
20240206,14:31:33,380.9,200,8500
20240206,14:31:42,380.65,200,8500
20240206,14:31:50,380.65,50,8500
20240206,14:32:41,383.15,650,9400
20240206,14:35:53,384.25,250,10050
20240206,14:39:03,397.65,300,10100
20240206,14:39:24,399.7,200,10100
20240206,14:39:34,399.85,650,10100
20240206,14:48:01,378.6,50,11050
20240206,14:52:33,370.1,50,11050
20240206,14:55:37,360.6,50,11100
20240206,15:00:28,371.3,200,11050
20240206,15:01:07,371.9,100,11050
20240206,15:10:50,374.9,600,11200
20240206,15:10:58,375.0,750,11200
20240206,15:11:11,371.0,300,11200
20240206,15:17:11,367.55,50,12850
20240206,15:23:29,382.75,50,12850
20240206,15:24:40,385.85,200,12900
20240206,15:26:11,384.45,100,12900
20240207,09:15:12,421.5,1,13100
20240207,09:15:12,421.5,50,13100
20240207,09:15:25,436.7,150,13100
20240207,09:17:24,444.7,50,13100
20240207,09:18:51,444.7,250,13050
20240207,09:22:00,424.0,600,13250
20240207,09:23:12,426.25,300,12650
20240207,09:23:48,428.45,100,12650
20240207,09:23:57,431.0,100,12650
20240207,09:27:39,420.3,50,13150
20240207,09:29:41,420.3,50,13100
20240207,09:29:49,420.3,50,13100
20240207,09:31:32,430.0,50,13100
20240207,09:41:05,442.0,1000,13200
20240207,09:41:58,435.9,450,13200
20240207,09:42:45,420.3,50,13200
20240207,09:52:19,418.9,250,14400
20240207,09:56:03,418.9,150,14650
20240207,09:56:31,428.35,100,14650
20240207,09:57:15,429.7,100,14650
20240207,09:57:23,430.45,100,14650
20240207,09:57:32,426.85,100,14650
20240207,10:00:41,425.0,150,15100
20240207,10:05:43,400.0,100,15250
20240207,10:12:39,400.0,100,15350
20240207,10:17:11,424.6,100,15450
20240207,10:18:28,430.0,100,15450
20240207,10:18:47,433.5,300,15450
20240207,10:19:06,432.65,50,15450
20240207,10:20:51,416.4,50,15900
20240207,10:27:05,415.0,50,15900
20240207,10:31:30,415.0,50,15950
20240207,10:36:41,410.0,50,16000
20240207,10:39:19,400.05,50,16050
20240207,10:40:49,400.0,100,16050
20240207,10:42:18,400.25,100,16200
20240207,10:43:10,401.25,50,16200
20240207,10:45:47,401.25,200,16250
20240207,10:49:58,409.1,50,16200
20240207,10:50:08,408.25,150,16200
20240207,10:52:17,404.0,100,16200
20240207,10:54:07,404.0,100,16300
20240207,11:03:57,399.15,50,16400
20240207,11:06:06,385.85,50,16450
20240207,11:09:19,384.45,50,16450
20240207,11:16:43,384.45,100,16550
20240207,11:18:45,389.2,50,16550
20240207,11:24:34,386.3,50,16600
20240207,11:29:14,385.0,200,16600
20240207,11:29:31,384.95,50,16600
20240207,11:32:05,370.0,50,16600
20240207,11:32:16,369.5,100,16850
20240207,11:32:47,368.0,50,16850
20240207,11:35:15,356.6,100,16850
20240207,11:39:18,348.25,350,17000
20240207,11:39:29,346.4,50,17000
20240207,11:39:39,346.4,50,17000
20240207,11:40:16,350.05,50,17000
20240207,11:40:25,350.0,100,17000
20240207,11:42:30,353.5,50,17100
20240207,11:42:39,350.8,50,17100
20240207,11:44:26,358.75,50,17100
20240207,11:45:03,358.55,200,17100
20240207,11:45:46,354.65,100,17100
20240207,11:50:08,363.85,50,17050
20240207,11:56:03,351.65,100,17100
20240207,11:56:21,344.45,200,17100
20240207,12:00:40,344.45,50,17150
20240207,12:09:47,353.95,50,17200
20240207,12:16:26,347.95,50,17250
20240207,12:22:45,347.95,100,17200
20240207,12:36:15,361.0,50,17200
20240207,12:37:24,357.0,50,17200
20240207,12:50:40,347.95,150,17200
20240207,12:51:50,352.4,50,17200
20240207,12:51:58,351.85,100,17200
20240207,13:07:54,349.0,100,17400
20240207,13:10:59,359.75,550,17400
20240207,13:15:13,347.95,50,17950
20240207,13:41:50,375.0,50,17900
20240207,13:42:16,375.95,500,17900
20240207,13:42:32,379.7,200,17900
20240207,13:43:04,369.35,50,17900
20240207,13:44:30,369.35,50,18000
20240207,13:47:58,360.0,50,18050
20240207,13:51:26,360.0,50,18100
20240207,14:08:18,379.0,300,18150
20240207,14:10:03,381.75,50,17850
20240207,14:11:00,384.35,50,17850
20240207,14:14:04,389.0,50,17850
20240207,14:14:13,389.0,50,17850
20240207,14:16:04,388.0,100,17950
20240207,14:19:36,388.0,100,17900
20240207,14:20:51,400.65,50,17800
20240207,14:21:01,399.45,250,17800
20240207,14:21:12,400.9,150,17800
20240207,14:25:55,391.0,550,18150
20240207,14:28:04,392.0,50,17600
20240207,14:38:56,361.85,50,17600
20240207,14:48:42,365.0,50,17600
20240207,14:53:13,375.5,100,17650
20240207,15:02:35,365.55,250,17700
20240207,15:02:49,368.2,50,17700
20240207,15:03:14,363.15,100,17700
20240207,15:10:43,365.0,50,18100
20240207,15:15:48,375.0,100,18150
20240207,15:16:15,375.0,50,18150
20240207,15:16:24,377.85,100,18150
20240207,15:16:41,377.85,100,18150
20240207,15:20:51,377.85,1000,18250
20240207,15:22:29,376.95,50,18250
20240207,15:22:37,376.85,50,18250
20240207,15:27:42,379.95,50,18550
20240207,15:28:08,386.8,50,18550
20240207,15:29:11,390.45,1000,18550
20240208,09:17:19,400.6,1,18550
