date,time,tick_price,volume,open_interest
20240108,12:44:25,1755.45,50,50
20240108,12:47:10,1843.25,50,50
20240108,13:10:52,1843.25,50,50
20240120,11:00:00,1858.75,1,50
20240120,11:00:00,1858.75,50,50
20240123,09:33:31,1900.0,50,50
20240123,09:35:00,1910.0,50,50
20240123,09:35:46,1910.0,50,100
20240123,09:36:20,1900.0,50,100
20240123,10:45:06,1712.0,50,200
20240123,12:32:44,1568.0,50,250
20240123,14:12:00,1485.0,300,200
20240123,15:29:59,1371.95,1,500
20240124,09:20:27,1340.0,1,500
20240124,09:20:27,1340.0,100,500
20240124,09:25:58,1395.0,100,600
20240124,09:27:03,1395.0,100,700
20240124,09:28:00,1390.0,100,700
20240124,09:28:36,1395.0,100,700
20240124,09:53:49,1470.0,50,800
20240124,09:56:07,1510.0,50,800
20240124,11:59:43,1510.0,200,900
20240124,12:01:11,1455.0,200,1100
20240124,12:03:19,1455.0,200,1300
20240124,12:04:55,1425.0,200,1300
20240124,12:09:22,1430.0,200,1700
20240124,12:10:09,1430.0,200,1700
20240124,12:11:24,1440.0,200,1700
20240124,12:13:11,1425.0,200,2300
20240124,12:15:33,1430.0,300,2500
20240124,13:56:18,1495.0,200,2800
20240124,13:57:47,1498.0,200,3000
20240124,13:58:55,1510.0,200,3000
20240124,14:01:02,1510.0,200,3400
20240124,14:01:49,1520.0,200,3400
20240124,14:02:29,1520.0,200,3400
20240124,14:03:20,1515.0,200,3400
20240124,14:05:30,1540.0,200,4200
20240124,14:06:34,1540.0,400,4400
20240124,14:07:36,1540.0,250,4400
20240124,14:08:47,1540.0,250,4400
20240124,14:09:34,1520.0,250,5300
20240124,14:10:21,1515.0,350,5300
20240124,15:25:07,1660.6,100,5900
20240125,10:29:43,1500.0,1,5900
20240125,10:29:43,1500.0,50,5900
20240125,10:44:15,1490.0,50,5950
20240125,11:00:43,1442.0,100,6000
20240125,11:05:51,1442.0,50,5900
20240125,15:13:09,1525.0,50,5950
20240131,09:31:21,1650.0,1,6000
20240131,09:31:21,1650.0,100,6000
20240131,09:38:30,1694.7,50,5900
20240131,09:40:10,1694.7,100,5900
20240131,09:42:50,1697.0,50,5800
20240131,09:49:10,1700.0,50,5750
20240131,09:49:14,1702.0,50,5750
20240131,09:51:07,1702.0,50,5650
20240131,09:51:56,1700.0,50,5650
20240131,09:52:21,1700.0,50,5650
20240131,11:20:12,1810.0,100,5500
20240131,11:21:39,1810.0,100,5400
20240131,13:11:53,1800.0,100,5400
20240131,13:14:42,1812.0,100,5400
20240131,13:23:51,1818.0,200,5400
20240131,13:28:25,1818.0,200,5000
20240131,13:31:22,1830.0,200,4800
20240131,13:33:20,1845.0,200,4600
20240131,13:43:46,1845.0,200,4400
20240131,13:49:48,1775.0,200,4200
20240131,13:51:24,1785.0,300,4000
20240131,14:12:39,1808.0,200,3700
20240131,14:14:34,1805.0,200,3700
20240131,14:16:53,1800.0,200,3300
20240131,14:21:40,1808.0,300,3100
20240131,14:25:33,1786.0,300,2800
20240131,14:29:22,1785.0,300,2500
20240131,14:33:37,1795.0,300,2200
20240131,14:35:30,1805.0,300,2200
20240131,14:36:52,1810.0,300,1600
20240131,14:37:58,1810.0,300,1600
20240131,14:39:39,1812.0,300,1000
20240131,15:10:35,1824.85,50,700
20240131,15:10:48,1831.7,50,700
20240131,15:10:49,1831.7,50,700
20240131,15:10:50,1831.75,50,700
20240131,15:10:50,1831.7,50,700
20240131,15:15:09,1825.4,150,900
20240131,15:20:41,1825.35,50,850
20240131,15:21:05,1825.35,50,850
20240201,09:27:07,1800.0,1,850
20240201,09:27:07,1800.0,50,850
20240201,12:16:18,1845.95,300,700
20240201,13:26:10,1845.95,600,700
20240201,13:26:16,1805.2,400,700
20240201,13:26:19,1804.0,50,700
20240201,13:26:20,1803.85,150,700
20240201,13:31:31,1791.25,50,500
20240201,13:40:55,1790.0,50,500
20240201,14:35:43,1790.0,50,500
20240201,15:04:30,1805.8,50,500
20240201,15:04:35,1806.05,50,500
20240201,15:04:53,1804.6,50,500
20240201,15:04:54,1803.65,50,500
20240201,15:04:56,1802.0,50,500
20240201,15:26:08,1798.0,50,500
