date,time,tick_price,volume,open_interest
20240212,14:14:48,24.2,350,1300
20240212,14:14:58,24.2,250,1300
20240212,14:15:09,24.2,700,1300
20240213,10:57:23,19.9,1,1300
20240213,10:57:23,19.9,750,1300
20240213,15:10:34,19.9,250,2050
20240213,15:14:02,19.9,250,2300
20240213,15:14:30,19.9,50,2300
20240222,11:53:20,3.05,1,2600
20240222,11:53:20,3.05,50,2600
20240222,12:05:59,3.05,50,2600
20240222,14:44:42,3.05,250,2600
20240227,10:34:30,1.65,1,2600
20240227,10:34:30,1.65,500,2600
20240227,10:34:36,2.9,1300,2650
20240227,10:34:50,2.7,250,2650
20240227,10:34:57,2.65,500,2650
20240227,10:58:43,2.75,100,2850
20240227,11:19:45,2.7,50,2950
20240227,11:22:56,2.25,50,3000
20240227,11:40:20,2.65,50,2950
20240227,14:31:43,2.65,50,3000
20240228,11:48:31,2.15,1,3000
20240228,11:48:31,2.1,1800,3000
20240228,11:49:28,2.55,1800,4750
20240228,11:49:56,2.55,50,4750
20240228,11:50:10,2.35,50,4750
20240228,11:50:55,2.45,100,4750
20240228,11:51:08,2.4,50,4750
20240228,11:51:14,2.3,50,4750
20240228,11:51:21,2.3,50,4750
20240228,12:01:10,2.3,50,3150
20240228,12:01:17,2.3,200,3150
20240228,12:08:34,2.45,50,3300
20240228,12:09:48,2.4,50,3300
20240228,12:18:06,2.4,50,3400
20240228,12:26:45,2.4,50,3400
20240228,12:59:14,2.65,100,3400
20240228,13:01:13,2.85,50,3400
20240228,13:07:07,2.85,50,3400
20240228,13:09:25,2.75,50,3450
20240228,13:11:44,2.85,100,3400
20240228,13:12:03,2.9,100,3400
20240228,13:24:14,2.9,50,3600
20240228,13:31:44,2.45,50,3550
20240228,13:31:52,2.45,100,3550
20240228,13:43:58,2.45,250,3400
20240228,13:48:09,2.55,250,3400
20240228,13:49:05,2.5,100,3400
20240228,13:49:44,2.5,100,3500
20240228,13:50:23,2.45,100,3500
20240228,13:53:28,2.45,50,3500
20240228,13:54:11,2.45,200,3500
20240228,13:54:17,2.45,500,3500
20240228,13:55:22,2.5,750,3500
20240228,14:00:56,2.45,250,3700
20240228,14:01:19,2.45,100,3700
20240228,14:01:44,2.45,100,4050
20240228,14:10:32,2.25,200,4050
20240228,14:11:17,2.3,50,4050
20240228,14:16:23,2.35,50,4100
20240228,14:35:29,2.4,50,4150
20240228,14:45:20,2.4,50,4100
20240228,14:47:21,2.3,300,4050
20240228,14:48:23,2.25,250,4050
20240228,14:59:26,2.6,1400,3850
20240228,14:59:32,2.4,400,3850
20240228,14:59:39,2.4,1000,3850
20240228,15:01:55,2.25,50,3850
20240228,15:02:52,2.25,50,5650
20240228,15:08:21,2.2,350,5650
20240228,15:08:27,2.2,250,5650
20240228,15:08:34,2.2,900,5650
20240228,15:09:18,2.25,50,5650
20240228,15:11:13,2.3,150,4900
20240228,15:27:10,2.55,250,4900
20240228,15:27:17,2.45,50,4900
20240228,15:29:07,2.65,50,4600
20240229,09:16:51,2.35,1,4600
20240229,09:16:51,2.35,50,4600
20240229,09:17:45,2.4,50,4600
20240229,09:17:53,2.4,100,4600
20240229,09:18:46,2.35,50,4600
20240229,09:20:23,2.35,50,4600
20240229,09:21:10,2.5,150,4600
20240229,09:22:38,2.45,50,4650
20240229,09:23:24,2.5,100,4650
20240229,09:23:46,2.7,50,4650
20240229,09:24:53,2.7,50,4650
20240229,09:25:09,2.4,50,4600
20240229,09:25:47,2.4,100,4600
20240229,09:26:31,2.35,250,4600
20240229,09:26:47,2.5,50,4600
20240229,09:27:10,2.75,500,4600
20240229,09:27:17,2.75,400,4600
20240229,09:27:47,2.45,150,4600
20240229,09:28:08,2.35,750,6000
20240229,09:29:37,2.4,50,6000
20240229,09:31:10,2.3,150,6000
20240229,09:31:19,2.3,50,6200
20240229,09:32:11,2.2,100,6200
20240229,09:33:15,2.1,250,6200
20240229,09:36:56,2.1,50,6150
20240229,09:37:33,2.3,50,6200
20240229,09:40:44,2.15,50,6250
20240229,09:40:58,2.1,50,6250
20240229,09:49:55,2.15,50,6250
20240229,09:56:24,2.05,50,6250
20240229,09:59:21,1.95,50,6250
20240229,10:00:53,1.8,100,6250
20240229,10:09:45,1.8,50,6250
20240229,10:13:20,2.3,50,6200
20240229,10:14:27,2.9,550,6200
20240229,10:15:21,2.9,150,6200
20240229,10:18:11,2.3,100,6550
20240229,10:41:51,2.3,100,6550
20240229,10:41:58,2.35,100,6550
20240229,10:42:24,2.3,200,6550
20240229,10:42:59,2.35,150,6550
20240229,10:43:51,2.4,50,6500
20240229,10:44:01,2.35,250,6500
20240229,10:44:35,2.3,200,6500
20240229,10:45:22,2.35,250,6500
20240229,10:47:14,2.4,50,6650
20240229,10:47:57,2.4,100,6650
20240229,10:48:16,2.4,50,6650
20240229,10:49:39,2.3,100,6700
20240229,10:51:08,2.3,200,6700
20240229,10:51:15,2.25,100,6700
20240229,10:52:04,2.2,100,6700
20240229,10:52:52,2.3,150,6700
20240229,10:52:57,2.25,50,6700
20240229,10:53:28,2.25,50,6700
20240229,10:54:31,2.25,200,6700
20240229,10:55:15,2.25,100,6700
20240229,10:57:44,2.3,100,6900
20240229,10:58:01,2.25,200,6900
20240229,10:58:06,2.25,50,6900
20240229,10:58:21,2.3,200,6900
20240229,10:59:27,2.25,300,7100
20240229,10:59:33,2.25,250,7100
20240229,10:59:45,2.35,100,7100
20240229,10:59:52,2.3,100,7100
20240229,11:03:06,2.3,50,7100
20240229,11:03:14,2.3,50,7100
20240229,11:03:21,2.3,50,7100
20240229,11:04:57,2.25,50,7100
20240229,11:05:18,2.25,50,7100
20240229,11:05:36,2.25,50,7100
20240229,11:10:36,2.2,100,7100
20240229,11:12:36,2.2,100,7150
20240229,11:14:05,2.2,150,7150
20240229,11:14:19,2.2,300,7150
20240229,11:14:35,2.2,50,7150
20240229,11:14:44,2.15,350,7150
20240229,11:14:54,2.15,50,7150
20240229,11:15:52,2.15,250,7150
20240229,11:16:37,1.65,750,7150
20240229,11:17:04,2.1,50,7150
20240229,11:17:13,2.1,250,7150
20240229,11:17:32,2.1,100,7150
20240229,11:18:26,2.1,50,7150
20240229,11:20:13,2.2,50,6750
20240229,11:21:39,2.2,200,6750
20240229,11:22:38,2.25,50,6800
20240229,11:23:02,2.2,50,6800
20240229,11:23:09,2.2,50,6800
20240229,11:23:17,2.2,50,6800
20240229,11:27:39,2.2,100,6800
20240229,11:31:03,2.2,250,6800
20240229,11:33:15,2.2,250,6700
20240229,11:41:14,2.2,50,6700
20240229,11:41:45,2.2,50,6700
20240229,11:43:35,2.25,400,6750
20240229,11:50:56,2.2,50,7050
20240229,11:52:50,2.25,50,7050
20240229,11:56:43,2.25,50,7050
20240229,11:57:16,2.1,250,7050
20240229,11:59:23,2.2,50,6900
20240229,12:00:01,2.05,50,6900
20240229,12:09:25,2.05,150,6900
20240229,12:12:40,2.15,50,6750
20240229,12:16:48,2.2,50,6750
20240229,12:30:41,2.1,50,6800
20240229,12:30:52,2.1,50,6800
20240229,12:34:19,2.05,50,6800
20240229,12:39:22,2.15,50,6800
20240229,12:41:06,2.15,100,6750
20240229,12:41:24,2.15,50,6750
20240229,12:44:46,2.2,100,6750
20240229,12:51:13,2.15,50,6750
20240229,13:00:49,2.0,50,6750
20240229,13:02:08,2.0,50,6750
20240229,13:03:28,2.0,50,6750
20240229,13:04:16,2.0,1200,6750
20240229,13:09:41,1.95,50,6800
20240229,13:09:46,2.0,350,6800
20240229,13:10:12,1.95,50,6800
20240229,13:16:06,1.9,50,6800
20240229,13:23:22,2.0,50,6850
20240229,13:24:52,1.95,50,6850
20240229,13:24:59,1.95,100,6850
20240229,13:25:06,1.95,450,6850
20240229,13:31:39,1.9,50,6850
20240229,13:31:48,1.9,50,6850
20240229,13:43:30,1.85,50,6850
20240229,13:44:49,1.95,100,6850
20240229,13:50:17,1.8,50,6950
20240229,13:53:58,1.85,150,6950
20240229,13:54:20,1.85,50,6950
20240229,13:54:47,1.85,50,6950
20240229,13:55:57,1.9,400,6950
20240229,13:56:04,1.85,100,6950
20240229,13:57:34,1.8,50,6950
20240229,13:59:25,1.85,50,7150
20240229,13:59:42,1.85,50,7150
20240229,14:00:54,1.8,50,7150
20240229,14:03:54,1.8,50,7150
20240229,14:04:08,1.8,100,7150
20240229,14:08:13,1.8,200,7150
20240229,14:08:18,1.9,1900,7150
20240229,14:08:31,1.9,200,7150
20240229,14:08:47,1.95,200,7150
20240229,14:08:52,1.9,200,7150
20240229,14:08:56,1.9,50,7150
20240229,14:09:05,1.9,50,7150
20240229,14:09:10,1.9,300,7150
20240229,14:09:19,1.9,350,7150
20240229,14:09:28,1.9,50,7150
20240229,14:09:33,1.9,50,7150
20240229,14:09:43,1.8,250,7150
