date,time,tick_price,volume,open_interest
20240209,10:25:00,402.25,900,900
20240209,10:48:41,431.45,100,900
20240209,10:49:07,429.35,50,900
20240209,10:49:16,427.9,50,900
20240209,10:49:25,427.95,50,900
20240209,10:51:18,434.65,50,650
20240209,10:51:54,437.05,50,650
20240209,10:52:03,437.05,50,650
20240209,10:52:21,438.7,50,650
20240209,10:52:30,438.7,100,650
20240209,10:52:48,436.95,50,350
20240209,10:53:31,440.85,100,350
20240209,10:53:57,439.8,100,350
20240209,10:54:15,441.3,50,350
20240209,10:54:23,441.3,50,350
20240209,12:07:49,440.7,50,350
20240214,15:18:10,320.05,1,50
20240214,15:18:10,320.05,50,50
20240215,10:21:37,313.35,1,100
20240215,10:21:37,313.35,50,100
20240215,12:11:06,304.55,50,150
20240215,12:32:48,304.55,50,150
20240215,13:04:36,295.0,500,200
20240215,13:43:15,274.3,50,700
20240215,13:50:46,274.0,50,750
20240215,13:53:51,273.65,50,800
20240215,14:14:30,270.35,50,850
20240215,14:44:20,270.35,100,850
20240215,15:06:16,263.05,50,850
20240215,15:16:28,263.0,100,800
20240215,15:19:34,260.0,100,950
20240216,09:21:21,244.65,1,1000
20240216,09:21:21,244.65,50,1000
20240216,09:21:36,240.4,300,1050
20240216,09:21:43,239.45,1500,1050
20240216,09:21:51,239.1,250,1050
20240216,09:21:58,239.1,300,1050
20240216,09:25:00,236.9,50,2850
20240216,09:25:15,236.9,50,2850
20240216,09:31:32,237.25,50,2850
20240216,09:40:04,237.2,50,2850
20240216,09:44:11,247.85,50,2850
20240216,09:49:23,250.85,50,2900
20240216,10:10:38,250.85,50,2900
20240216,10:12:15,229.1,50,2900
20240216,10:15:08,229.1,50,2950
20240216,10:30:14,229.0,50,2950
20240216,10:31:02,229.0,50,2950
20240216,10:53:34,229.0,50,2950
20240216,11:07:56,232.7,50,3000
20240216,11:15:54,233.6,50,3050
20240216,11:43:02,237.65,50,3100
20240216,11:44:20,238.75,100,3100
20240216,11:48:33,233.55,50,3250
20240216,11:49:42,235.95,50,3200
20240216,12:08:57,229.0,50,3250
20240216,12:09:23,228.7,50,3250
20240216,12:12:25,228.7,100,3300
20240216,12:12:31,228.15,50,3300
20240216,12:24:22,228.15,50,3450
20240216,12:25:31,234.7,50,3500
20240216,12:38:14,233.35,300,3550
20240216,12:43:05,235.0,50,3250
20240216,13:29:49,230.0,50,3300
20240216,14:12:04,223.95,300,3350
20240216,14:12:11,223.4,200,3350
20240216,14:14:08,223.4,300,3700
20240216,14:14:47,227.3,300,3700
20240216,14:18:07,230.05,50,4300
20240216,14:18:14,228.0,250,4300
20240216,14:18:22,227.4,50,4300
20240216,14:30:55,227.9,300,4350
20240216,14:31:12,217.45,100,4350
20240216,14:44:54,217.45,150,4250
20240216,14:56:52,222.65,50,4400
20240216,14:57:42,220.15,50,4400
20240216,14:58:51,222.15,800,4450
20240216,14:59:05,222.25,850,4450
20240216,14:59:54,220.85,300,4450
20240216,15:00:24,220.95,250,4450
20240216,15:02:06,221.35,600,6350
20240216,15:03:43,218.45,450,6350
20240216,15:05:07,223.7,300,7400
20240216,15:05:15,222.1,200,7400
20240216,15:15:36,225.35,100,7750
20240216,15:20:42,232.95,50,7750
20240216,15:20:49,233.55,250,7750
20240216,15:20:57,234.05,150,7750
20240216,15:23:48,231.25,100,8200
20240216,15:25:00,231.4,100,8200
20240216,15:25:07,231.25,300,8200
20240216,15:25:36,231.45,150,8400
20240216,15:27:03,230.6,100,8400
20240216,15:27:37,229.15,550,8400
20240219,09:19:53,221.0,1,8450
20240219,09:19:53,221.0,50,8450
20240219,09:39:15,217.9,50,8500
20240219,09:44:41,217.9,800,8500
20240219,09:45:33,231.45,850,8500
20240219,10:00:04,237.65,50,8450
20240219,10:02:05,237.65,50,8400
20240219,10:04:04,227.9,50,8350
20240219,10:04:48,230.0,50,8350
20240219,10:05:09,227.8,50,8350
20240219,10:08:21,225.0,50,8300
20240219,10:14:35,224.8,1000,8300
20240219,10:15:15,216.55,1000,8300
20240219,10:19:50,216.55,50,8750
20240219,10:19:58,220.3,250,8750
20240219,10:20:04,219.65,400,8750
20240219,10:24:01,209.5,50,8050
20240219,10:26:07,209.5,50,8050
20240219,10:29:11,209.5,50,8050
20240219,10:36:49,209.5,50,8050
20240219,10:39:22,210.6,50,8100
20240219,10:41:02,214.1,50,8050
20240219,10:47:32,212.6,50,8050
20240219,10:50:15,211.65,100,8000
20240219,10:51:15,210.5,50,8000
20240219,10:54:03,209.95,50,8000
20240219,10:54:24,209.65,50,8000
20240219,10:54:31,209.75,150,8000
20240219,10:55:50,208.85,100,8000
20240219,10:56:45,207.7,50,8000
20240219,10:57:30,205.85,50,8000
20240219,10:58:36,201.5,50,8000
20240219,11:05:10,201.5,100,8000
20240219,11:05:18,202.35,50,8000
20240219,11:09:49,205.0,50,8150
20240219,11:12:00,205.55,100,8150
20240219,11:12:50,206.65,500,8150
20240219,11:13:45,203.15,600,8550
20240219,11:14:10,203.75,200,8550
20240219,11:15:03,200.0,100,8550
20240219,11:25:09,200.0,50,7800
20240219,11:44:44,199.0,50,7850
20240219,12:20:59,195.0,50,7850
20240219,12:25:52,186.0,50,7850
20240219,12:32:39,186.0,150,7850
20240219,12:39:33,188.3,50,8000
20240219,12:39:44,188.0,50,8000
20240219,12:40:21,188.3,200,8000
20240219,12:42:36,186.0,50,8000
20240219,12:46:08,186.5,100,8200
20240219,12:47:36,189.0,50,8300
20240219,12:59:32,188.75,50,8350
20240219,13:15:53,185.0,50,8350
20240219,13:16:37,185.0,50,8400
20240219,13:36:04,193.15,50,8400
20240219,13:57:39,188.2,50,8450
20240219,13:58:43,189.0,50,8500
20240219,14:00:50,191.15,50,8500
20240219,14:08:09,186.5,50,8550
20240219,14:20:23,185.0,200,8600
20240219,14:24:51,180.0,50,8600
20240219,14:25:20,177.9,50,8600
20240219,14:25:40,177.9,50,8600
20240219,14:25:55,179.1,50,8600
20240219,14:27:49,180.4,100,8600
20240219,14:28:19,181.6,50,8600
20240219,14:28:20,181.75,50,8600
20240219,15:02:24,184.8,50,8700
20240219,15:08:24,201.8,50,8750
20240219,15:21:57,201.05,50,8750
20240219,15:28:46,199.0,500,8750
20240220,09:26:46,211.65,1,8400
20240220,09:26:46,211.65,50,8400
20240220,09:37:22,216.75,500,8350
20240220,09:37:30,216.75,50,8350
20240220,09:47:49,212.35,250,8350
20240220,09:48:04,212.65,250,8350
20240220,09:50:40,220.85,350,8350
20240220,09:52:27,220.85,350,8450
20240220,09:52:43,218.6,300,8450
20240220,09:58:00,221.0,50,8100
20240220,09:59:06,221.1,50,8150
20240220,10:00:52,223.5,50,8150
20240220,10:02:21,223.5,50,8200
20240220,10:03:10,222.15,50,8200
20240220,10:03:18,218.2,50,8200
20240220,10:13:07,218.75,50,8150
20240220,10:20:39,209.0,50,8100
20240220,10:24:27,209.0,100,8150
20240220,11:18:45,209.0,50,8050
20240220,11:39:14,209.0,50,8050
20240220,11:45:23,204.35,50,8050
20240220,11:52:38,204.35,50,8050
20240220,12:03:55,188.0,50,8050
20240220,12:10:03,188.0,50,8000
20240220,12:33:20,188.0,100,8000
20240220,12:40:18,191.9,100,8000
20240220,13:07:45,194.1,50,8000
20240220,13:28:30,195.0,50,8000
20240220,13:33:30,193.0,250,8000
20240220,13:54:01,203.55,100,8000
20240220,14:03:08,217.0,50,8100
20240220,14:04:14,217.0,50,8100
20240220,14:05:24,217.4,50,8200
20240220,14:06:03,218.1,100,8200
