date,time,tick_price,volume,open_interest
20231229,10:24:10,1849.0,100,100
20231229,14:34:52,1851.0,100,100
20240102,15:17:54,1731.0,1,200
20240102,15:17:54,1731.0,250,200
20240102,15:24:03,1735.0,250,450
20240103,11:08:12,1655.0,1,450
20240103,11:08:12,1655.0,250,450
20240103,11:08:17,1655.0,50,700
20240103,12:52:08,1635.0,450,1000
20240104,11:32:14,1720.0,1,1450
20240104,11:32:14,1720.0,500,1450
20240104,11:42:46,1726.0,500,1950
20240104,11:42:49,1726.0,300,1950
20240104,11:42:52,1726.0,200,1950
20240104,11:52:08,1733.0,400,2950
20240104,12:28:47,1750.0,400,3350
20240104,12:30:55,1750.0,100,3750
20240104,12:31:08,1748.0,50,3750
20240104,12:34:16,1740.0,400,3900
20240104,12:43:03,1744.0,500,4300
20240104,12:48:52,1745.0,500,4800
20240104,12:55:00,1746.0,500,5300
20240104,13:21:58,1740.0,50,5800
20240104,13:53:23,1740.0,50,5850
20240104,13:53:50,1740.05,50,5850
20240105,09:15:08,1778.0,1,5950
20240105,09:15:08,1778.0,50,5950
20240108,09:32:05,1765.0,1,5950
20240108,09:32:05,1765.0,50,5950
20240109,09:52:36,1665.0,1,5900
20240109,09:52:36,1665.0,400,5900
20240109,10:50:00,1765.0,200,5900
20240109,13:56:45,1765.0,500,5300
20240109,14:21:19,1655.0,500,4800
20240109,15:05:01,1611.0,200,4800
20240109,15:16:13,1598.25,50,4500
20240109,15:16:14,1595.9,50,4500
20240109,15:16:26,1593.2,50,4500
20240110,09:17:57,1553.25,1,4500
20240110,09:17:57,1553.25,50,4500
20240110,09:40:04,1567.45,100,4500
20240111,09:38:21,1745.0,1,4550
20240111,09:38:21,1745.0,400,4550
20240111,09:45:10,1739.65,500,4400
20240111,09:57:12,1723.0,1000,4400
20240111,10:25:43,1715.0,500,3400
20240111,10:32:17,1700.0,400,3000
20240111,10:34:48,1700.0,200,2600
20240111,10:39:45,1720.0,500,2600
20240111,11:20:35,1700.0,250,2400
20240111,11:20:36,1700.0,250,2400
20240111,11:29:35,1699.1,400,1900
20240111,13:09:13,1715.0,50,1900
20240111,13:14:42,1715.6,50,1900
